"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"ENSG00000134323",4967.48062012532,2.90718774750917,0.184686265233963,15.7412233325868,7.89033885845977e-56,1.38151943072772e-51,"MYCN"
"ENSG00000205670",534.94374228318,3.67544136758975,0.371903447401938,9.88278380656549,4.94400025740337e-23,4.32822502534378e-19,"SMIM11"
"ENSG00000273590",108.935361136757,-4.12537946651617,0.507474620612729,-8.12923306693673,4.32014970975755e-16,2.52138337560483e-12,"LOC102723553"
"ENSG00000215630",363.010369775865,-23.9119705911732,3.33147962206745,-7.1775827271409,7.09547252821746e-13,3.10586571241399e-09,"GUSBP9"
"ENSG00000278016",289.461388347152,-24.0701556498906,3.39999259430144,-7.07947296421569,1.44703725816509e-12,4.34619205364891e-09,"TIGD5"
"ENSG00000231945",80.6791446922199,-10.8303477731802,1.53068803328063,-7.07547686903136,1.48935703477603e-12,4.34619205364891e-09,"VARS1"
"ENSG00000230995",594.189288370639,24.1116270855906,3.46960600277165,6.94938476193819,3.66882670239312e-12,9.17678381888587e-09,"PPP1R10"
"ENSG00000236895",92.7009516060811,-4.65756515782885,0.799583829537578,-5.82498668153713,5.71171545580306e-09,1.11118251017395e-05,"GTF2H4"
"ENSG00000259040",137.445041255241,-2.23191903286638,0.422795534727593,-5.27895601902324,1.29921981817397e-07,0.00022748039796408,"BLOC1S5-TXNDC5"
"ENSG00000256043",23.4065389612459,-9.04408068766969,1.75289509148341,-5.15951053295267,2.47596294762182e-07,0.000394105774999186,"CTSO"
"ENSG00000251634",189.490519574512,-24.0133681676265,4.78510525328209,-5.0183573603017,5.21151665105354e-07,0.000760403708694137,NA
"ENSG00000228177",153.775954478049,22.9886844615021,4.78493375778731,4.80438928210634,1.55224566068819e-06,0.00194130494807068,"C6orf47"
"ENSG00000234196",159.631992914819,22.6440558038064,4.78502377434388,4.73227655110477,2.2201564625022e-06,0.0025915146334634,"ZBTB12"
"ENSG00000168461",545.459664229655,1.11872926500452,0.237382144904364,4.71277764153338,2.44362801025004e-06,0.00267409267696675,"RAB31"
"ENSG00000198689",709.242884864525,-1.13050647640936,0.240559298647911,-4.69949190392344,2.60809560896372e-06,0.00268618505984387,"SLC9A6"
"ENSG00000157881",96.0125331236323,21.7484073909904,4.78536513993031,4.54477490328087,5.49939915998224e-06,0.00506784104695416,"PANK4"
"ENSG00000257635",25.4679146661161,-7.49666933818991,1.66247125794814,-4.50935274961836,6.50257099212293e-06,0.00569267577505402,NA
"ENSG00000235986",67.3378471058307,21.2405768127871,4.78560452978463,4.43843127458402,9.06169086984906e-06,0.00755529264000892,"GNL1"
"ENSG00000206281",428.531540581322,-1.79108111342988,0.405491269100236,-4.41706455826829,1.00050354980217e-05,0.00796264393340278,"TAPBP"
"ENSG00000183246",19.8110833984515,7.0904501324445,1.65830835064293,4.27571273442331,1.90526767925122e-05,0.0145040573026129,"RIMBP3C"
"ENSG00000275895",1596.84300580185,-1.08393455238661,0.257194750705528,-4.21445052596601,2.50387029635132e-05,0.018266777091173,"LOC102724594"
"ENSG00000275793",19.8929848371053,-7.3115593114051,1.81225246130058,-4.03451476410627,5.47152498842168e-05,0.0383203724089101,"RIMBP3"
